"Name","Manufacturing Industry related","Abbreviation","Short description","Latest version","Latest activity found","Project page or publication","Ontology URI","RDF/XML file","Turtle file","Download location","Authors/creators","License"
"Garment Vocabulary","yes","Information not available","Vocabulary to describe men's/women's shirts, dresses, skirts, trousers.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/garment.html","http://purl.org/opdm/garment#","http://purl.org/opdm/garment#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"General Process Ontology","yes","GPO","This ontology aims to model processes, which are holistic perspective elements that transform inputs/educts (matter, energy, information) into output/products (matter, energy, information) with the help of tools (devices, algorithms). They can be decomposed into sub-processes and have predecessor and successor processes.","Information not available","2021-09-14","https://gitlab.cc-asp.fraunhofer.de/ISC-Public/ISC-Digital/ontology/gpo","https://gitlab.cc-asp.fraunhofer.de/ISC-Public/ISC-Digital/ontology/GPO","","https://gitlab.cc-asp.fraunhofer.de/ISC-Public/ISC-Digital/ontology/gpo/-/raw/master/GPO.ttl","","Simon Stier","CC-BY 4.0"
"GRACE Ontology","yes","Information not available","The GRACE system will act at the Distributed Control System (DCS) and Manufacturing Execution System (MES) levels, implementing the sharing of process critical information between and inside the two layers. This results in the more efficient management of resources and higher final product quality.","Information not available","2012-02-29","https://industryportal.enit.fr/ontologies/GRACE","http://www.grace.com","https://data.industryportal.enit.fr/ontologies/GRACE/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","Information not available","Information not available"
"Grid2Onto","yes","Grid2Onto","Grid2Onto is an application ontology that describes the observations (values, indicators, physical objects, etc.) collected from a power grid.","1.2","2023-10-13","https://industryportal.enit.fr/ontologies/GRID2ONTO","http://www.semanticweb.org/emna.amdouni/ontologies/2023/0/RTEOntology","https://data.industryportal.enit.fr/ontologies/GRID2ONTO/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","Amdouni Emna","CC-BY 4.0"
"Hair Dryer Vocabulary","yes","Information not available","Vocabulary to describe hair dryers (modern blow dryers only).","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/hairdryer.html","http://purl.org/opdm/hairdryer#","http://purl.org/opdm/hairdryer#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Home Hifi Vocabulary","yes","Information not available","Vocabulary to describe home hifis and other home audio entertainment devices.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/homehifi.html","http://purl.org/opdm/homehifi#","http://purl.org/opdm/homehifi#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"IEEE Standard for Autonomous Robotics Ontology","yes","Information not available","An ontology of IEEE Standard 1872.2 which is a standard to describe domain-speficic concepts and definitions used in Autonomous Robotics.","1.0.0","2023-02-03","https://github.com/hsu-aut/IndustrialStandard-ODP-IEEE1872-2","http://w3id.org/hsu-aut/IEEE1872.2","","https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-IEEE1872-2/main/AuR_IEEE1872-2.owl","","Miguel Vieira da Silva (via Git commits, might be incomplete)","MIT"
"IFC2X3","yes","Information not available","OWL ontology for the IFC2X3 conceptual data schema and exchange file format for Building Information Model (BIM) data.","Information not available","2016-12-30","https://github.com/buildingsmart-community/ifcOWL","http://ifcowl.openbimstandards.org/IFC2X3_Final","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC2X3_Final.owl","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC2X3_Final.ttl","","Pieter Pauwels","CC-BY 3.0"
"IFC2X3_TC1","yes","Information not available","OWL ontology for the IFC2X3_TC1 conceptual data schema and exchange file format for Building Information Model (BIM) data.","Information not available","2016-12-30","https://github.com/buildingsmart-community/ifcOWL","http://ifcowl.openbimstandards.org/IFC2X3_TC1","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC2X3_TC1.owl","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC2X3_TC1.ttl","","Pieter Pauwels,Walter Terkaj","CC-BY 3.0"
"IFC4","yes","Information not available","OWL ontology for the IFC4 conceptual data schema and exchange file format for Building Information Model (BIM) data.","Information not available","2016-12-30","https://github.com/buildingsmart-community/ifcOWL","http://ifcowl.openbimstandards.org/IFC4","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC4.owl","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC4.ttl","","Pieter Pauwels,Walter Terkaj","CC-BY 3.0"
"IFC4_ADD1","yes","Information not available","OWL ontology for the IFC4_ADD1 conceptual data schema and exchange file format for Building Information Model (BIM) data.","Information not available","2016-12-30","https://github.com/buildingsmart-community/ifcOWL","http://ifcowl.openbimstandards.org/IFC4_ADD1","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC4_ADD1.owl","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC4_ADD1.ttl","","Pieter Pauwels,Walter Terkaj","CC-BY 3.0"
"IFC4_ADD2","yes","Information not available","OWL ontology for the IFC4_ADD2 conceptual data schema and exchange file format for Building Information Model (BIM) data.","Information not available","2016-12-30","https://github.com/buildingsmart-community/ifcOWL","http://ifcowl.openbimstandards.org/IFC4_ADD2","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC4_ADD2.owl","https://raw.githubusercontent.com/buildingsmart-community/ifcOWL/master/IFC4_ADD2.ttl","","Pieter Pauwels,Walter Terkaj","CC-BY 3.0"
"Industrial Maintenance Ontology","yes","IMAMO","Ontology, that covers concepts about technical, administrative and management activities and actions for maintenance information systems.","2.0","2021-08-12","https://industryportal.enit.fr/ontologies/IMAMO","http://www.semanticweb.org/karray/ontologies/2016/0/IMAMO#","http://data.industryportal.enit.fr/ontologies/IMAMO/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942&download_format=rdf","","","Hedi Karray,Hedi Karray,Thibault Bobyck","MIT"
"IOF Core Ontology","yes","Information not available","The IOF Core Ontology contains notions found to be common across multiple manufacturing domains.","202401","2024-03-08","https://github.com/iofoundry/ontology/","https://spec.industrialontologies.org/ontology/core/Core/","https://spec.industrialontologies.org/ontology/202401/core/Core/","","","IOF Core Working Group","MIT"
"International System of Quantities","yes","Information not available","Defines physical quantities in the International System of Quantities (ISQ). ISQ was made an official ISO standard in 2009 and is defined in the ISO/IEC 80000 standard.","1.0.0-beta","2021-09-04","https://github.com/emmo-repo/EMMO","http://emmo.info/emmo/middle/isq","","http://emmo.info/emmo/1.0.0-beta/middle/isq","","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis","CC-BY 4.0"
"Industrial IoT Architecture Ontology","yes","Information not available","An ontology to describe standards related to Industry 4.0, Smart Manufacturing and IIoT.","0.3","2019-07-21","https://github.com/i40-Tools/StandardsOntology","https://w3id.org/i40/sto/iot/concerns/","https://data.industryportal.enit.fr/ontologies/I40KG/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","Steffen Lohmann,Irlán Grangel-González,Paul Baptista,Sebastian Bader","CC-BY 3.0"
"Industrial Ontologies Foundry Supply Chain Reference Ontology","yes","IOF-SCRO","Supply Chain Reference Ontology (SCRO) aims to represent the generic constructs (including classes and properties) related to the domain of supply chain and logistics with focus on consistency and interoperability across supply chain- and logistics ontologies.","1.0","2023-10-10","https://spec.industrialontologies.org/iof/ontology/supplychain/SupplyChainReferenceOntology/","https://spec.industrialontologies.org/ontology/supplychain/SupplyChain/","https://spec.industrialontologies.org/iof/ontology/supplychain/SupplyChain.rdf","","","Farhad Ameri,Evan Wallace,Boonserm Kulvatanyou","MIT"
"IoT Ontology","yes","Information not available","The COGITO IoT ontology aims at modelling IoT devices and their measurements in the construction domain.","0.5.0","2023-12-07","https://github.com/oeg-upm/cogito-iot-ontology","https://cogito.iot.linkeddata.es/def/iot#","","https://raw.githubusercontent.com/oeg-upm/cogito-iot-ontology/main/ontology/ontology.ttl","","María Poveda Villalón,Raúl García Castro,Socorro Bernardos Galindo","CC-BY 4.0"
"ISO 22400-2 Ontology-Design-Pattern","yes","Information not available","Its an ontology design pattern of ISO 22400-2, which presents key performance indicators (KPIs) for Manufacturing Operations Management (MOM) by terminologically standardizing various KPI-related terms, but also providing formulas for their calculation.","2.0.0","2023-11-17","https://github.com/hsu-aut/IndustrialStandard-ODP-ISO22400-2","http://www.w3id.org/hsu-aut/ISO22400-2","https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-ISO22400-2/master/ISO22400-2.owl","","","Aljosha Köcher,Janni Kreisberg (via Git commits, might be incomplete)","MIT"
"Key Performance Indicator ontology","yes","Information not available","The Key Performance Indicator module aims to model the metrics defined at the beginning of building renovation activities to monitor the conformance with typical requirements related to energy efficient buildings.","0.1.6","Information not available","https://bimerr.iot.linkeddata.es/def/key-performance-indicator/","http://bimerr.iot.linkeddata.es/def/key-performance-indicator#","","https://bimerr.iot.linkeddata.es/def/key-performance-indicator/ontology.ttl","","María Poveda Villalón,Serge Chávez Feria","CC-BY 4.0"
"Landline Phones Vocabulary","yes","Information not available","Vocabulary to describe all kinds of landline phones including wireless and ones with multiple base station.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/landlinephone.html","http://purl.org/opdm/landlinephone#","http://purl.org/opdm/landlinephone#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"M3-lite Taxonomy","yes","Information not available","It is a taxonomy that enables testbeds to semantically annotate the IoT data produced by heterogeneous devices and store them in a federated datastore such as FIESTA-IoT. In this taxonomy, we classify devices, the domain of interests (health, smart home, smart kitchen, environmental monitoring, etc.), phenomena and unit of measurements.","3.2","2019-11-04","https://github.com/fiesta-iot/ontology","http://purl.org/iot/vocab/m3-lite#","http://iot.ee.surrey.ac.uk/ontology/m3-lite.owl","","","Amelie Gyrard,David Gomez,Garvita Bajaj,Jorge Lanza,Luis Sanchez,Rachit Agarwal,Tarek Elsaleh","CC-BY 4.0"
"M3 Ontology","yes","M3","The Machine-to-Machine Measurement (M3) Ontology is a unified language, nomenclature, dictionnary which enables semantically annotating heterogeneous IoT data produced by heterogeneous devices measurements (sensors, RFID tags, etc.). We classify all devices, their measurements and the feature of interests (health, smart home, smart kitchen, environmental monitoring, etc.).","5.6","2022-03-27","Information not available","http://sensormeasurement.appspot.com/m3#","http://sensormeasurement.appspot.com/m3#","","","Amelie Gyrard","GPL-1.0"
"Maintenance Activity Ontology","yes","Information not available","A reference ontology for maintenance activity terms which also contains a holistic view of the types of activities conducted by maintenance personnel.","Information not available","2022-10-28","https://github.com/uwasystemhealth/Paper_Archive_Maintenance_Activity","http://www.semanticweb.org/maintenance-activity","https://raw.githubusercontent.com/uwasystemhealth/Paper_Archive_Maintenance_Activity/main/maintenance-activity.owl","","","Caitlin Woods,Matt Selway,Tyler Bikaun,Markus Stumptner,Melinda Hodkiewicz","MIT"
"Maintenance Activity Ontology","yes","MNT-ACT","The Maintenance Activity Ontology is a reference ontology for maintenance activity terms. This ontology is derived from a set of 800 000 real-world maintenance work orders. .","Information not available","Information not available","https://industryportal.enit.fr/ontologies/MNT-ACT","http://spec.equonto.com/ontology/maintenance-work-management/maintenance-activity-ontology","https://data.industryportal.enit.fr/ontologies/MNT-ACT/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","Caitlin Woods,Matt Selway,Tyler Bikaun,Markus Stumptner,Melinda Hodkiewicz","MIT"
"Maintenance Reference Ontology","yes","Information not available","The Maintenance Reference Ontology supports modelling of concepts associated with asset reliability and maintenance management. It is relevant for data captured at the design stage of the asset life cycle (e.g. in failure modes and effects analysis) and in the operations and maintenance phase of the life cycle (e.g. asset reliability and the maintenance activities associated with delivering value from use of the assets).","Release_202401","2024-03-08","https://spec.industrialontologies.org/iof/ontology/maintenance/Maintenance/","https://spec.industrialontologies.org/ontology/maintenance/Maintenance/","https://spec.industrialontologies.org/iof/ontology/maintenance/Maintenance.rdf","","","IOF Maintenance Working Group","MIT"
"Manufacturing","yes","Information not available","Describes manufacturing processes with engeneered participants.","1.0.0-beta","2021-01-19","https://github.com/emmo-repo/EMMO","http://emmo.info/emmo/middle/manufacturing","","https://raw.githubusercontent.com/emmo-repo/EMMO/master/middle/manufacturing.ttl","","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis","CC-BY 4.0"
"Manufacturing Semantics Ontology","yes","MASON","A top-level ontology in the manufacturing domain, i.e. a common ancestor for more domain-specific ontologies. This ontology addresses topic similar to earlier work by the National Institute of Standards and Technology (NIST). They proposed a standard for interoperability in the process management chain (Process Specification Language, PSL). Although sharing the same purposes, MASON relies on up-to-date formalisms (OWL semantics) and tries to show the concrete application of such ontologies.","1.0.0","2006-06-16","https://www.academia.edu/download/30806306/Lemaignan2006.pdf","http://www.owl-ontologies.com/mason.owl","https://data.industryportal.enit.fr/ontologies/MASON/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","Severin Lemaignan (probably Ali Siadat and Jean-Yves Dantan too)","Information not available"
"Manufacturing System Ontology","yes","Information not available","The MSO ontology is intended to represent manufacturing system. The MSO ontology is developed in OWL and wants to be a guideline to favour the representation of objects in production systems.","Information not available","2016-10-24","https://github.com/enegri/OFM","http://www.ontologies.com/Ontology3197.owl","https://raw.githubusercontent.com/enegri/OFM/master/OFM.owl","","","Beatrice Cabrini","Information not available"
"ManuService Ontology","yes","ManuService","ManuService is an ontology for enabling semantic interoperability and communication within the domain of manufacturing. Aiming at solving the interoperability issue within the domain of manufacturing, ManuService consists of all necessary concepts for describing highly customized products and manufacturing resources. .","1","2016-01-12","https://industryportal.enit.fr/ontologies/MANUSERVICE","http://www.manunetwork.com/manuservice/v1#","https://data.industryportal.enit.fr/ontologies/MANUSERVICE/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","Information not available","Information not available"
"Materials","yes","Information not available","The materials module populates the physicalistic perspective with materials subclasses categorised according to modern applied physical sciences.","1.0.0-beta","2021-11-26","https://github.com/emmo-repo/EMMO","http://emmo.info/emmo/middle/materials","","http://emmo.info/emmo/1.0.0-beta/middle/manufacturing","","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis","CC-BY 4.0"
"Materials Design Ontology","yes","Information not available","The Materials Design Ontology is designed to enable semantic query and integrated query over multiple databases. By generating mappings between MDO and the schemas of materials databases, we can create MDO-enabled query interfaces. The querying can occur, for instance, via MDO-based query expansion, MDO-based mediation or through MDO-enabled data warehouses.","1.1","2019-11-07","https://github.com/LiUSemWeb/Materials-Design-Ontology","https://w3id.org/mdo/full/","https://liusemweb.github.io/mdo/full/1.1/mdo-full.owl","","","Huanyu Li","MIT"
"Material properties ontology","yes","Information not available","The Material Properties Ontology aims to provide the vocabulary to describe the building components, materials, and their corresponding properties, relevant within the construction industry. More specifically, the building elements and properties covered in this ontology support applications focused on the design of building renovation projects.","0.0.8","2021-07-21","https://bimerr.iot.linkeddata.es/def/material-properties/","http://bimerr.iot.linkeddata.es/def/material-properties#","","https://bimerr.iot.linkeddata.es/def/material-properties/ontology.ttl","","María Poveda-Villalón,Serge Chávez-Feria","CC-BY 4.0"
"Material Science and Engineering Ontology","yes","MSEO","This is the mid-level module of the Material Science and Engineering Ontology (MSEO),which utilizes the Common Core Ontology stack giving materials scientists and engineers the ability to represent their experiments and resulting data. The goal is to create machine and human readable sematic data which can be easily digested by other science domains.","0.4","2023-02-06","https://matportal.org/ontologies/MSEO","https://purl.matolab.org/mseo/mid","https://purl.matolab.org/mseo/mid","","","Thomas Hanke","MIT"
"Mechanical Testing Ontology (MTO)","yes","MTO","The materials mechanical testing ontology (MTO) was developed by collecting the mechanical testing vocabulary from ISO 23718 standard, as well as the standardized testing processes described for various mechanical testing of materials like tensile testing, Brinell hardness test, Vickers hardness test, stress relaxation test, and fatigue testing.","2.1.4","Information not available","https://industryportal.enit.fr/ontologies/MTO","https://gitlab.com/kupferdigital/ontologies/Mechanical_Testing_Ontology/","https://data.industryportal.enit.fr/ontologies/MTO/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","Birgit Skrotzki,Hossein Beygi Nasrabadi,Miriam Eisenbart,Thomas Hanke","Information not available"
"Microstructure domain ontology","yes","Information not available","The Microstructure Domain Ontology is intended to be a domain ontology for physical metallurgy. The intension is to cover all relevant aspect of metallic microstructures.","0.2","2023-11-11","https://github.com/emmo-repo/domain-microstructure","http://emmo.info/microstructure","","https://raw.githubusercontent.com/emmo-repo/domain-microstructure/master/microstructure.ttl","","Astrid Marthinsen,Georg J. Schmitz,Jesper Friis,Sylvain Gouttebroze,Tomas Manik,Ulrike Cihak-Bayr","CC-BY 4.0"
"Microwave Vocabulary","yes","Information not available","Vocabulary to describe microwave ovens.","Information not available","Information not available","https://ebusiness-unibw.org/ontologies/opdm/microwave.html","http://purl.org/opdm/microwave#","http://purl.org/opdm/microwave#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Mobile Phone Vocabulary","yes","Information not available","Vocabulary to describe mobile phones and smartphones.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/mobilephone.html","http://purl.org/opdm/mobilephone#","http://purl.org/opdm/mobilephone#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Modem Vocabulary","yes","Information not available","Vocabulary to describe cable modems, DSL routers, wireless access points.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/modem.html","http://purl.org/opdm/modem#","http://purl.org/opdm/modem#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Molecules And Materials Basic Ontology","yes","MAMBO","It is a domain ontology for molecular materials.","Information not available","2023-05-10","https://github.com/daimoners/MAMBO","file:/home/fabio/Projects/MAMBO/mambo.owl","https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl","","","See https://github.com/daimoners/MAMBO/graphs/contributors","CC-BY 4.0"
"MPS500","yes","Information not available","A semantic capability model of all MPS500 modules.","Information not available","2022-03-31","https://github.com/hsu-aut/MPS500-Capabilities","http://www.hsu-hh.de/aut/ontologies/lab/MPS500","https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/MPS500-Capabilities.owl","http://emmo.info/emmo/1.0.0-beta/middle/materials","","Aljosha Köcher (via Git commits, might be incomplete)","MIT"
"MPS500 AssembleCylinder","yes","Information not available","Information not available","Information not available","2022-03-31","https://github.com/hsu-aut/MPS500-Capabilities","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/AssembleCylinder","https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Assembly_Module/AssembleCylinder.owl","","","Aljosha Köcher (via Git commits, might be incomplete)","MIT"
"MPS500 AssembleThermometer","yes","Information not available","Information not available","Information not available","2022-03-08","https://github.com/hsu-aut/MPS500-Capabilities","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/AssembleThermometer","https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Assembly_Module/AssembleThermometer.owl","","","Aljosha Köcher (via Git commits, might be incomplete)","MIT"
"MPS500 CameraModule","yes","Information not available","Information not available","Information not available","2022-03-15","https://github.com/hsu-aut/MPS500-Capabilities","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/CameraModule","https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Camera_Module/CameraModule.owl","","","Aljosha Köcher,Miguel Vieira da Silva (via Git commits, might be incomplete)","MIT"
"MPS500 DrillingModule","yes","Information not available","Information not available","Information not available","2022-03-31","https://github.com/hsu-aut/MPS500-Capabilities","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/DrillingModule","https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Drilling_Module/DrillingModule.owl","","","Aljosha Köcher,Miguel Vieira da Silva (via Git commits, might be incomplete)","MIT"
"MPS500 PropertyTypes","yes","Information not available","A little ontology that contains all property type definitions used for MPS500.","Information not available","2022-03-31","https://github.com/hsu-aut/MPS500-Capabilities","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/property-types","https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/MPS500-PropertyTypes.owl","","","Aljosha Köcher,Miguel Vieira da Silva (via Git commits, might be incomplete)","MIT"
"MPS500 RawCylinderSupplyModule","yes","Information not available","Information not available","Information not available","2022-03-08","https://github.com/hsu-aut/MPS500-Capabilities","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/RawCylinderSupplyModule","https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/RawCylinderSupply_Module/RawCylinderSupplyModule.owl","","","Aljosha Köcher (via Git commits, might be incomplete)","MIT"
"MPS500 RawThermometerSupplyModule","yes","Information not available","Information not available","Information not available","2022-03-08","https://github.com/hsu-aut/MPS500-Capabilities","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/RawThermometerSupplyModule","https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/RawThermometerSupply_Module/RawThermometerSupplyModule.owl","","","Aljosha Köcher,Miguel Vieira da Silva (via Git commits, might be incomplete)","MIT"
"MPS500 ShippingModule","yes","Information not available","Information not available","Information not available","2022-03-15","https://github.com/hsu-aut/MPS500-Capabilities","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/PrepareForShipping","https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Shipping_Module/PrepareForShipping.owl","","","Aljosha Köcher (via Git commits, might be incomplete)","MIT"
"MPS500 StorageModule PutInStorage","yes","Information not available","Information not available","Information not available","2022-03-11","https://github.com/hsu-aut/MPS500-Capabilities","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/PutInStorage","https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Storage_Module/PutInStorage.owl","","","Aljosha Köcher (via Git commits, might be incomplete)","MIT"
"MPS500 StorageModule RetrieveFromStorage","yes","Information not available","Information not available","Information not available","2022-03-15","https://github.com/hsu-aut/MPS500-Capabilities","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/RetrieveFromStorage","https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Storage_Module/RetrieveFromStorage.owl","","","Aljosha Köcher (via Git commits, might be incomplete)","MIT"
"MPS500 Transport Module","yes","Information not available","Information not available","Information not available","2022-03-31","https://github.com/hsu-aut/MPS500-Capabilities","http://www.hsu-hh.de/aut/ontologies/lab/MPS500/TransportModule","https://raw.githubusercontent.com/hsu-aut/MPS500-Capabilities/main/Transport_Module/TransportModule.owl","","","Aljosha Köcher (via Git commits, might be incomplete)","MIT"
"MSDL (Manufacturing Service Description Language)","yes","MSDL","Manufacturing Service Description Language (MSDL) is an OWL-based ontology developed for the formal representation of manufacturing services.","4.0","Information not available","https://industryportal.enit.fr/ontologies/MSDL","http://infoneer.txstate.edu/ontology/MSDL","https://data.industryportal.enit.fr/ontologies/MSDL/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","Farhad Ameri","Information not available"
"Navigation Device Vocabulary","yes","Information not available","Vocabulary to describe navigation devices.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/navigation.html","http://purl.org/opdm/navigation#","http://purl.org/opdm/navigation#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Occupancy Profile ontology","yes","OP","The Occupancy Profile ontology has been developed to represent and define occupancy profiles in building spaces.","0.1.2","2021-10-22","https://github.com/oeg-upm/bimerr-occupant-behavior","http://bimerr.iot.linkeddata.es/def/occupancy-profile#","","https://bimerr.iot.linkeddata.es/def/occupancy-profile/ontology.ttl","","María Poveda Villalón,Raúl García Castro,Serge Chávez Feria,Ontology Engineering Group","CC-BY 4.0"
"oneM2M Base Ontology","yes","oneM2M","oneM2M Base Ontology is the minimal ontology (i.e. mandating the least number of conventions) that is required such that other ontologies can be mapped into oneM2M.","3.6.0","2018-03-18","https://git.onem2m.org/MAS/BaseOntology","https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#","https://git.onem2m.org/MAS/BaseOntology/-/raw/master/base_ontology.owl","","","oneM2M","Custom license"
"Ontology for Maintenance Procedure Documentation (OMPD) Conditional Maintenance Task Ontology","yes","Information not available","The OMPD Conditional Maintenance Task Ontology captures functional failures and corrective maintenance tasks (to be conditionally executed on the occurrence of a function failure) found in some industrial maintenance procedures.","Information not available","Information not available","https://industryportal.enit.fr/ontologies/OMPD-CMTO","http://spec.equonto.com/ontology/maintenance-procedure/conditional-maintenance-task-ontology","https://data.industryportal.enit.fr/ontologies/OMPD-CMTO/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","University of Western Australia,Equonto Pty. Ltd.","MIT"
"Ontology for the Battery Value Chain","yes","BVCO","Ontology, aiming on modeling processes along the Battery value chain. Processes are holistic perspective elements that transform inputs/educts (matter, energy, information) into output/products (matter, energy, information) with the help of tools (devices, algorithms).","0.4.2","2024-02-16","https://gitlab.cc-asp.fraunhofer.de/ISC-Public/ISC-Digital/ontology/bvco","https://bvco.ontology.link/","","https://raw.githubusercontent.com/Battery-Value-Chain-Ontology/ontology/master/BVCO.ttl","","Lukas Gold,Simon Stier","CC-BY 4.0"
"Ontology model for Web of Things","yes","WOT","This ontology aims to model the Web of Things domain according to the W3C Interest Group (http://w3c.github.io/wot/).","0.0.11","2018-05-18","http://iot.linkeddata.es/def/wot/index-en.html","http://iot.linkeddata.es/def/wot#","http://iot.linkeddata.es/def/wot#","http://iot.linkeddata.es/def/wot/ontology.ttl","","María Poveda-Villalón,Raúl García Castro,http://www.oeg-upm.net/index.php/en/universitystaff/402-fserena/","CC-BY 4.0"
"Ontology of units of Measure","yes","OM4ExtruOnt","The Ontology of units of Measure (OM) 2.0 models concepts and relations important to scientific research.","2.0.12","2019-03-08","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/docs/","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/OM4ExtruOnt","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/OM4ExtruOnt.owl","","","Hajo Rijgersberg,Don Willems,Jan Top","CC-BY 4.0"
"OntoSensor Device Ontology","yes","Information not available","Ontology copied for safe-keeping; reference original rather than this copy.","Information not available","2009-04-22","https://mmisw.org/ont/univmemphis/sensor","http://mmisw.org/ont/univmemphis/sensor","https://mmisw.org/ont/api/v0/ont?format=rdf&iri=http://mmisw.org/ont/univmemphis/sensor","https://mmisw.org/ont/api/v0/ont?format=ttl&iri=http://mmisw.org/ont/univmemphis/sensor","","David Russomano","Information not available"
"OPC UA Core ontology","yes","Information not available","Ontology for representing information about Semantic Digital Twins of Manufacturing Resources (OPC UA context).","0.1.0","2019-06-27","https://github.com/OntoUA/ua-nodeset-core-ont","http://www.fortiss.org/kb/opcua/OpcUaCore.owl","https://raw.githubusercontent.com/OntoUA/ua-nodeset-core-ont/master/owl/OpcUaCore.owl","","","Alexander Perzylo,Stefan Profanter,Markus Rickert,Alois Knoll","Information not available"
"OPC UA NodeSet ontology","yes","Information not available","Ontology for representing information about Semantic Digital Twins of Manufacturing Resources (OPC UA context).","1.04","2019-06-27","https://github.com/OntoUA/ua-nodeset-core-ont","http://www.fortiss.org/kb/opcua/OpcUaNodeSet2.owl","https://raw.githubusercontent.com/OntoUA/ua-nodeset-core-ont/master/owl/OpcUaNodeSet2.owl","","","Alexander Perzylo,Stefan Profanter,Markus Rickert,Alois Knoll","Information not available"
